,Pupil Name,Date of Birth,This Year's Birthday,Month,Cake Needed On,BDs per Weekday and Month
819,Mitzi Kleinhandler,10/19/2013,10/19/2022,October,Wednesday,13
820,Shaine Matas,10/16/2012,10/16/2022,October,Friday,32
821,Fraze Tutin,9/2/2013,9/2/2022,September,Friday,36
822,Nola Mallett,6/10/2015,6/10/2022,June,Friday,30
823,Hardy Burford,4/5/2014,4/5/2022,April,Tuesday,4
824,Sarine Pedlingham,9/16/2013,9/16/2022,September,Friday,36
825,Bary Amyes,7/20/2013,7/20/2022,July,Wednesday,19
826,Berthe Sheerman,9/29/2013,9/29/2022,September,Thursday,14
827,Charisse Divina,10/21/2014,10/21/2022,October,Friday,32
828,Calla Emms,7/22/2013,7/22/2022,July,Friday,49
829,West Breheny,4/25/2015,4/25/2022,April,Monday,10
830,Patsy Piner,9/29/2013,9/29/2022,September,Thursday,14
831,Fairleigh Janusz,2/28/2012,2/28/2022,February,Monday,12
832,Rodrick Lepere,9/19/2012,9/19/2022,September,Monday,7
833,Kissie Burkert,7/28/2015,7/28/2022,July,Thursday,12
834,Alanson Joost,7/10/2015,7/10/2022,July,Friday,49
835,Shelly Deares,7/17/2014,7/17/2022,July,Friday,49
836,Angy Moseby,2/27/2012,2/27/2022,February,Friday,31
837,Corabel Triggol,2/5/2015,2/5/2022,February,Friday,31
838,Jose Kennan,9/23/2011,9/23/2022,September,Friday,36
839,Ferd Dey,4/5/2015,4/5/2022,April,Tuesday,4
840,Katlin Bumphrey,2/28/2012,2/28/2022,February,Monday,12
841,Dana Gauld,7/15/2014,7/15/2022,July,Friday,49
842,Alys McReidy,10/21/2011,10/21/2022,October,Friday,32
843,Maure Kenwell,10/20/2012,10/20/2022,October,Thursday,14
844,Virgie Roark,8/12/2015,8/12/2022,August,Friday,24
845,Jacklin Biggerstaff,5/30/2015,5/30/2022,May,Monday,7
846,Wade Fautly,9/28/2014,9/28/2022,September,Wednesday,7
847,Loydie Capewell,4/6/2014,4/6/2022,April,Wednesday,12
848,Emmalynn Sankey,6/11/2014,6/11/2022,June,Friday,30
849,Shannon Gerring,8/30/2013,8/30/2022,August,Tuesday,15
850,Denna Cornewall,10/17/2011,10/17/2022,October,Monday,14
851,Meyer Barca,7/13/2014,7/13/2022,July,Wednesday,19
852,Goldia Macklin,1/17/2013,1/17/2022,January,Monday,14
853,Curry Dawbery,4/25/2013,4/25/2022,April,Monday,10
854,Heidi Elderkin,11/16/2012,11/16/2022,November,Wednesday,17
855,Peggie Derrett,6/29/2012,6/29/2022,June,Wednesday,15
856,Ingunna Hauck,1/26/2015,1/26/2022,January,Wednesday,14
857,Emmott Gosson,2/1/2012,2/1/2022,February,Tuesday,13
858,Guinna O'Currine,2/7/2015,2/7/2022,February,Monday,12
859,Haleigh Causier,5/31/2012,5/31/2022,May,Tuesday,15
860,Karel Hovenden,10/6/2014,10/6/2022,October,Thursday,14
861,Ragnar Heathcott,2/3/2015,2/3/2022,February,Thursday,12
862,Axe Gleder,5/3/2014,5/3/2022,May,Tuesday,15
863,Poul Frane,4/11/2012,4/11/2022,April,Monday,10
864,Jerry Pelerin,11/17/2011,11/17/2022,November,Thursday,13
865,Gayler Littledike,12/8/2013,12/8/2022,December,Thursday,20
866,Bartlett Chilvers,8/22/2015,8/22/2022,August,Monday,12
867,Harwell Munnings,12/25/2013,12/25/2022,December,Friday,45
868,Russell Constantine,11/14/2012,11/14/2022,November,Monday,11
869,Zulema Ludlom,1/25/2015,1/25/2022,January,Tuesday,12
870,Dewain Wogdon,10/10/2014,10/10/2022,October,Monday,14
871,Merrily Altamirano,3/18/2013,3/18/2022,March,Friday,31
872,Bartholemy Rattrie,2/24/2013,2/24/2022,February,Thursday,12
873,Leroi Heikkinen,4/21/2012,4/21/2022,April,Thursday,11
874,Kamila Blakes,6/29/2014,6/29/2022,June,Wednesday,15
875,Vincent Seedull,1/12/2012,1/12/2022,January,Wednesday,14
876,Remy La Torre,4/23/2013,4/23/2022,April,Friday,55
877,Brig Lawty,3/28/2015,3/28/2022,March,Monday,8
878,Kassie Darben,2/10/2014,2/10/2022,February,Thursday,12
879,Barnie Drees,4/25/2013,4/25/2022,April,Monday,10
880,Leslie Pezey,8/2/2013,8/2/2022,August,Tuesday,15
881,Ted Gobel,5/29/2014,5/29/2022,May,Friday,31
882,Noach Pagen,11/11/2013,11/11/2022,November,Friday,39
883,Elita Taggert,11/8/2012,11/8/2022,November,Tuesday,12
884,Tony Roches,7/3/2013,7/3/2022,July,Friday,49
885,Phelia Wines,12/7/2011,12/7/2022,December,Wednesday,9
886,Kris Boarer,2/4/2013,2/4/2022,February,Friday,31
887,Courtnay Fearey,1/30/2012,1/30/2022,January,Friday,33
888,Bartie Pedrazzi,1/8/2014,1/8/2022,January,Friday,33
889,Pincas Sogg,8/19/2015,8/19/2022,August,Friday,24
890,Delainey Rand,3/10/2012,3/10/2022,March,Thursday,19
891,Alvy Fleis,10/28/2012,10/28/2022,October,Friday,32
892,Chrotoem Thominga,7/20/2014,7/20/2022,July,Wednesday,19
893,Ebeneser Gobel,5/10/2012,5/10/2022,May,Tuesday,15
894,Orelee Perillio,2/19/2014,2/19/2022,February,Friday,31
895,Carmelita Wiffen,9/11/2011,9/11/2022,September,Friday,36
896,Dion Grimestone,9/16/2011,9/16/2022,September,Friday,36
897,Terry Sloey,3/29/2013,3/29/2022,March,Tuesday,13
898,Reube Pallaske,8/4/2015,8/4/2022,August,Thursday,10
899,Ossie Woodard,1/12/2012,1/12/2022,January,Wednesday,14
900,Olly Navarijo,9/8/2012,9/8/2022,September,Thursday,14
901,Maybelle Shackesby,4/30/2015,4/30/2022,April,Friday,55
902,Seumas Plum,4/28/2013,4/28/2022,April,Thursday,11
903,Burl Glassborow,7/31/2015,7/31/2022,July,Friday,49
904,Farra Laidler,3/29/2015,3/29/2022,March,Tuesday,13
905,Olwen Callicott,2/1/2013,2/1/2022,February,Tuesday,13
906,Zoe Djorvic,4/4/2013,4/4/2022,April,Monday,10
907,Tonye Faudrie,4/1/2012,4/1/2022,April,Friday,55
908,Jody Alvin,5/15/2013,5/15/2022,May,Friday,31
909,Brandie Feuell,5/10/2015,5/10/2022,May,Tuesday,15
910,Mic Stonard,7/12/2013,7/12/2022,July,Tuesday,12
911,Jilli Kevane,11/11/2011,11/11/2022,November,Friday,39
912,Jessie Fforde,6/5/2014,6/5/2022,June,Friday,30
913,Eleonora Manntschke,12/12/2014,12/12/2022,December,Monday,20
914,Westley Bergin,12/30/2012,12/30/2022,December,Friday,45
915,Thelma Carabine,6/14/2014,6/14/2022,June,Tuesday,11
916,Nannie Ferebee,3/11/2015,3/11/2022,March,Friday,31
917,Sib Klink,12/7/2014,12/7/2022,December,Wednesday,9
918,Keely Skellion,7/24/2015,7/24/2022,July,Friday,49
919,Erinna Rosthorn,6/14/2013,6/14/2022,June,Tuesday,11
920,Elvin Lewinton,9/10/2013,9/10/2022,September,Friday,36
921,Rosana Zoellner,5/19/2014,5/19/2022,May,Thursday,12
922,Elaine Blackborough,7/31/2013,7/31/2022,July,Friday,49
923,Roddie Ovett,7/10/2013,7/10/2022,July,Friday,49
924,Ninnetta Galia,4/1/2013,4/1/2022,April,Friday,55
925,Casandra Norewood,11/24/2014,11/24/2022,November,Thursday,13
926,Pen Haney`,12/25/2011,12/25/2022,December,Friday,45
927,Brigg Mendel,2/20/2015,2/20/2022,February,Friday,31
928,Susana Cookney,3/17/2012,3/17/2022,March,Thursday,19
929,Codi Widger,7/4/2014,7/4/2022,July,Monday,11
930,Sonny Finlason,11/26/2014,11/26/2022,November,Friday,39
931,Felike Whardley,7/18/2014,7/18/2022,July,Monday,11
932,Aileen Overill,6/26/2012,6/26/2022,June,Friday,30
933,Rayna Hobble,1/2/2014,1/2/2022,January,Friday,33
934,Dela Corradeschi,10/4/2014,10/4/2022,October,Tuesday,9
935,Temple Arnald,11/15/2013,11/15/2022,November,Tuesday,12
936,Corey Garnsworthy,1/12/2012,1/12/2022,January,Wednesday,14
937,Lyssa Skotcher,3/3/2013,3/3/2022,March,Thursday,19
938,Farra Congreave,6/20/2014,6/20/2022,June,Monday,9
939,Chanda Hartle,8/23/2014,8/23/2022,August,Tuesday,15
940,Emmott Pressman,11/2/2012,11/2/2022,November,Wednesday,17
941,Alvera Roussel,5/22/2013,5/22/2022,May,Friday,31
942,Korney Pennington,8/24/2013,8/24/2022,August,Wednesday,10
943,Travus Rousby,9/20/2011,9/20/2022,September,Tuesday,12
944,Wakefield Pleaden,2/21/2014,2/21/2022,February,Monday,12
945,Amy Pirrie,11/6/2013,11/6/2022,November,Friday,39
946,Barn Poyntz,6/22/2015,6/22/2022,June,Wednesday,15
947,Heindrick Okie,5/6/2014,5/6/2022,May,Friday,31
948,Gan Thulborn,12/18/2011,12/18/2022,December,Friday,45
949,Delphinia Wallach,6/12/2015,6/12/2022,June,Friday,30
950,Harlin Hallad,11/28/2012,11/28/2022,November,Monday,11
951,Ida Side,4/22/2015,4/22/2022,April,Friday,55
952,Lia Cavilla,4/6/2015,4/6/2022,April,Wednesday,12
953,Tammie Bevans,12/17/2012,12/17/2022,December,Friday,45
954,Towney Genny,10/26/2011,10/26/2022,October,Wednesday,13
955,Darsie Midson,7/10/2015,7/10/2022,July,Friday,49
956,Bobbee Timeby,10/12/2014,10/12/2022,October,Wednesday,13
957,Giacinta Pardal,5/28/2012,5/28/2022,May,Friday,31
958,Justinian McCrossan,1/25/2015,1/25/2022,January,Tuesday,12
959,Maxine Peizer,10/6/2013,10/6/2022,October,Thursday,14
960,Claudell Oloshin,12/25/2011,12/25/2022,December,Friday,45
961,Risa Marc,7/31/2013,7/31/2022,July,Friday,49
962,Leontine Kowalski,12/31/2011,12/31/2022,December,Friday,45
963,Yasmin Lindsell,9/28/2012,9/28/2022,September,Wednesday,7
964,Carlyle Bestwick,8/8/2013,8/8/2022,August,Monday,12
965,Arnold Emps,6/22/2013,6/22/2022,June,Wednesday,15
966,Cassandry Trevaskus,1/5/2015,1/5/2022,January,Wednesday,14
967,Julianna Whitlock,2/25/2014,2/25/2022,February,Friday,31
968,Meryl Grzelewski,6/4/2012,6/4/2022,June,Friday,30
969,Louella Ketch,8/17/2015,8/17/2022,August,Wednesday,10
970,Meredith Dreng,9/12/2011,9/12/2022,September,Monday,7
971,Brana Bridgstock,1/4/2015,1/4/2022,January,Tuesday,12
972,Efrem Roswarne,10/21/2014,10/21/2022,October,Friday,32
973,Catrina Hannabuss,3/12/2012,3/12/2022,March,Friday,31
974,Ainslie Swansbury,10/3/2012,10/3/2022,October,Monday,14
975,Jerry Archard,3/9/2013,3/9/2022,March,Wednesday,6
976,Cly Chevis,12/19/2012,12/19/2022,December,Monday,20
977,Tarrance Alves,12/24/2013,12/24/2022,December,Friday,45
978,Geneva Bakesef,12/5/2014,12/5/2022,December,Monday,20
979,Rosaline Youel,3/19/2013,3/19/2022,March,Friday,31
980,Livvyy Cessford,6/23/2014,6/23/2022,June,Thursday,12
981,Deirdre Maharey,7/17/2015,7/17/2022,July,Friday,49
982,Dyan Heckney,5/2/2014,5/2/2022,May,Monday,7
983,Alika Bunclark,11/9/2014,11/9/2022,November,Wednesday,17
984,Daryle Flewitt,9/11/2012,9/11/2022,September,Friday,36
985,Clovis Okeshott,2/1/2015,2/1/2022,February,Tuesday,13
986,Gratia Shory,4/2/2015,4/2/2022,April,Friday,55
987,Alane Beidebeke,11/22/2012,11/22/2022,November,Tuesday,12
988,Bridie Hembery,5/26/2013,5/26/2022,May,Thursday,12
989,Hannis Loughran,2/2/2013,2/2/2022,February,Wednesday,8
990,Gwen Glowinski,3/4/2012,3/4/2022,March,Friday,31
991,Henrie Wrightson,12/1/2014,12/1/2022,December,Thursday,20
992,Ludwig Raine,2/18/2014,2/18/2022,February,Friday,31
993,Hamel Pie,12/24/2013,12/24/2022,December,Friday,45
994,Tamma Sergison,6/19/2012,6/19/2022,June,Friday,30
995,Ninetta Worling,2/15/2015,2/15/2022,February,Tuesday,13
996,Stanford Tinton,4/9/2013,4/9/2022,April,Friday,55
997,Ertha MacCook,12/14/2013,12/14/2022,December,Wednesday,9
998,Lawton Randles,12/12/2011,12/12/2022,December,Monday,20
999,Engracia Pashbee,9/23/2013,9/23/2022,September,Friday,36
